
url,price,title
https://www.olx.in/item/dell-latitude-6330-core-i7-4-gb-500-gb-ID1qXVlb.html,18000,Dell Latitude 6330 Core i7 4 Gb 500 Gb
https://www.olx.in/item/lowest-price-used-core-2-duo-pc-with-lcd-monitor-sale-rs-5900-ID1oR2Gp.html,5900,Lowest price..used CORE 2 DUO PC with LCD Monitor sale- Rs.5900/-
https://www.olx.in/item/sony-bravia-42-smart-led-hd-tv-with-warranty-best-deals-sale-offers-ID1kbNbD.html,15499,"Sony bravia 42"" Smart led hd tv with warranty Best deals sale offers"
https://www.olx.in/item/airtel-hd-connection-with-all-india-delivery-cod-ID1pgkCn.html,1568,Airtel HD Connection With All India Delivery COD)
https://www.olx.in/item/i-watch-series4-44mm-white-ID1qXSmb.html,39500,I WATCH series4 44mm white
https://www.olx.in/item/battery-charger-for-nikon-camera-available-in-new-ID1qXSlF.html,1000,Battery charger for nikon camera available in new
https://www.olx.in/item/ifb-washing-machine-senara-ID1qXSmw.html,14000,Ifb washing machine senara
https://www.olx.in/item/induction-stove-ID1qXSnW.html,1300,Induction stove
https://www.olx.in/item/samsung-65-inch-hu7500-smart-3d-uhd-4k-led-tv-ID1qXSoh.html,36000,Samsung 65-Inch HU7500 Smart 3D UHD 4K LED TV
https://www.olx.in/item/oppo-a83-3gb-ram-32gb-rom-ID1qXSod.html,7000,Oppo a83 3gb ram 32gb rom
https://www.olx.in/item/dji-phantom-4-drone-with-bills-ID1qXSoN.html,28000,DJI Phantom 4 drone with bills
https://www.olx.in/item/new-bose-original-speaker-micro-soundlink-4000-ID1qXSp5.html,4000,New BOSE original speaker micro soundlink 4000₹ -
https://www.olx.in/item/two-pairs-of-shoes-size-9-no-ID1qXSoX.html,4000,Two pairs of shoes size 9 no
https://www.olx.in/item/msi-gt-83-vr-8gb-gaming-1tb-128gb-ID1qXSpj.html,32000,MSI GT-83-VR 8GB GAminG 1TB+128GB
https://www.olx.in/item/two-black-sennheiser-head-phones-ID1qXSp1.html,1900,Two Black SENNHEISER Head Phones
https://www.olx.in/item/one-by-wacom-this-medium-size-tablet-is-perfect-ID1qXSpL.html,6800,ONE BY WACOM This medium size tablet is perfect
https://www.olx.in/item/chromecast2-ID1qXSq5.html,1200,Chromecast2
https://www.olx.in/item/canon-eos-60d-mark-bills-ID1qXSqD.html,44000,Canon eos 60d mark + Bills
https://www.olx.in/item/dell-i5-7th-generation-good-condition-with-warranty-ID1qXSqt.html,39000,Dell i5 7th generation Good condition with warranty
https://www.olx.in/item/well-condition-laptop-computer-at-low-price-ID1qXSrn.html,10000,Well condition Laptop Computer at low Price
https://www.olx.in/item/hp-pavilion-laptop-inbuilt-touch-and-keypad-both-ID1qXSs9.html,35000,Hp Pavilion Laptop Inbuilt Touch and keypad both
https://www.olx.in/item/ps4-call-of-duty-black-ops-3-game-case-ID1qXSsj.html,1100,PS4 Call Of Duty Black Ops 3 Game Case
https://www.olx.in/item/125-led-backlight-board-9-months-old-selling-ID1qXSsH.html,11000,12*5 LED backlight board...9 months old...selling
https://www.olx.in/item/new-bred-tv-condition-ok-ID1qXSsL.html,10000,"New,bred TV condition ok"
https://www.olx.in/item/sony-vaio-laptop-ID1qXStj.html,16000,Sony vaio laptop
https://www.olx.in/item/black-and-gray-wireless-headphones-new-ID1qXSu5.html,1400,Black And Gray Wireless Headphones new
https://www.olx.in/item/black-and-gray-4-burner-gas-stove-ID1qXSuj.html,3500,Black And Gray 4-burner Gas Stove
https://www.olx.in/item/surya-automatic-stove-in-good-condition-not-much-used-ID1pFm6p.html,1800,Surya automatic stove in good condition not much used
https://www.olx.in/item/sony-bravia-kdl-50w800c-smart-tv-ID1qXSwW.html,60000,Sony Bravia Kdl 50w800c smart TV
https://www.olx.in/item/high-speed-cooler-only-6months-old-ID1qXSvt.html,6500,High speed cooler Only 6months old..
https://www.olx.in/item/keval-136hr-chala-ID1qXSv3.html,160000,Keval 136hr chala
https://www.olx.in/item/black-laptop-computer-with-ac-adapter-ID1qXSvJ.html,10000,Black Laptop Computer With AC Adapter
https://www.olx.in/item/whatsapp-932-668-9071-apple-macbook-air-13-3-retina-space-grey-ID1qXSx1.html,50000,"Whatsapp 932,668, 9071 Apple MacBook Air 13.3"" Retina Space Grey"
https://www.olx.in/item/apple-watch-series-3-gps-42mm-silver-aluminium-ID1qXSvX.html,25000,"Apple Watch Series 3 GPS, 42mm Silver Aluminium"
https://www.olx.in/item/aiwa-tv-republic-day-sales-1-year-warranty-ID1qXSxt.html,8500,Aiwa TV republic day sales అతి తక్కువ ధరలో 1 year warranty
https://www.olx.in/item/hotline-sandwich-maker-ID1qXSyx.html,800,Hotline Sandwich maker
https://www.olx.in/item/samsung-32-tv-perfect-condition-serious-buyer-ID1qXSxP.html,8750,"Samsung 32"" TV. Perfect condition. Serious buyer"
https://www.olx.in/item/ps3-250gb-with-8-original-games-disc-1-controller-ID1qXSyF.html,8500,Ps3 250gb with 8 original games disc 1 controller
https://www.olx.in/item/set-of-four-pieces-dairy-ID1qXSyL.html,150,Set of four pieces dairy
https://www.olx.in/item/lord-l-pvc-dumble-ID1qXSz3.html,300,Lord l PVC dumble
https://www.olx.in/item/canon-w10-18mm-warranty-for-2-years-only-3-months-used-ID1qXSyP.html,14000,Canon w10-18mm . warranty for 2 years ( only 3 months used )
https://www.olx.in/item/aiwa-tv-republic-day-sales-1-year-warranty-ID1qXSzb.html,8500,Aiwa TV republic day sales అతి తక్కువ ధరలో 1 year warranty
https://www.olx.in/item/whatsapp-932-668-9071-dji-phantom-4-pro-plus-plus-4-battery-ID1qXSzw.html,32500,"Whatsapp 932,668, 9071 DJI Phantom 4 Pro Plus Plus 4 Battery"
https://www.olx.in/item/ps-4-xbox-360-xbox-one-on-rent-in-delhi-and-ncr-with-securtty-deposi-ID1lZeCt.html,900,"PS 4 Xbox 360, Xbox ONE on RENT In DELHI And NCR With Securtty Deposi"
https://www.olx.in/item/ps4-ps3-xbox-360-xbox-one-on-rent-in-delhi-ncr-1-day-rent-850-with-ID1lZlP9.html,846,"PS4, PS3 ,Xbox 360,Xbox One On Rent In Delhi NCR . 1 Day Rent 850 With"
https://www.olx.in/item/ps-4-and-xbox-one-on-rent-for-rs-5000-per-month-with-rs-15000-monthly-ID1lZffr.html,850,PS 4 And Xbox one on rent for rs 5000 per month with Rs 15000 monthly
https://www.olx.in/item/sony-ps-4-camera-brand-new-condition-only-2-month-old-used-3-good-work-ID1pBC5h.html,3999,Sony PS 4 Camera Brand New Condition only 2 Month old Used 3 Good Work
https://www.olx.in/item/brand-new-sony-ps-3-move-and-camra-used-only-1-time-fixed-price-ID1mKllB.html,1997,Brand New Sony PS 3 Move And Camra used only 1 Time Fixed Price
https://www.olx.in/item/sony-ps-4-dualshock-4-wireless-controller-for-steel-black-brand-new-co-ID1mk2TT.html,3300,Sony PS 4 Dualshock 4 Wireless Controller for Steel Black Brand New Co
https://www.olx.in/item/jaquar-tap-and-watchers-ID1qXS7j.html,3000,Jaquar tap and watchers
https://www.olx.in/item/sony-ps-vita-16-gb-memory-card-brand-new-condition-good-working-fixed-ID1m5ojr.html,3500,Sony PS Vita 16 GB Memory Card Brand New Condition Good Working Fixed
https://www.olx.in/item/new-never-used-polaroid-camera-with-2-film-packs-ID1qXS6d.html,5000,NEW! Never used Polaroid Camera with 2 FILM PACKS!
https://www.olx.in/item/brand-new-seal-pack-ps-4-marvels-spider-man-no-exchange-only-sale-fix-ID1k24a1.html,2300,Brand New Seal Pack PS 4 Marvel's Spider Man No Exchange only sale Fix
https://www.olx.in/item/3-month-old-samsung-970-evo-ssd-250-gb-with-bill-and-warranty-ID1qXS8z.html,9000,3 month old Samsung 970 EVO ssd 250 gb with bill and warranty
https://www.olx.in/item/sony-a7r-iii-42-4mp-full-frame-mirrorless-digital-camera-us-model-a7-ID1qXSa1.html,90000,Sony A7R III 42.4MP Full Frame Mirrorless Digital Camera - US model A7
